order_id,customer_id,product_id,order_timestamp,quantity,unit_price,discount_pct,status,updated_at,pipeline_run_id,staged_at_utc,cust_match,prod_match,reason
O0023192,C01399,P0078,2025-01-03 09:43:00+00:00,2,212.65,0.0,SHIPPED,2025-01-05 00:43:00+00:00,bf1b3162bcdf,2026-09-22 07:35:22.661765+00:00,both,left_only,orphan_customer_or_product_reference
O0041595,C01602,P0078,2025-01-10 18:31:00+00:00,4,708.96,0.05,CANCELLED,2025-01-11 00:31:00+00:00,bf1b3162bcdf,2026-09-22 07:35:22.661765+00:00,both,left_only,orphan_customer_or_product_reference
O0011714,C01685,P0078,2025-01-15 04:21:00+00:00,6,810.65,0.15,PENDING,2025-01-17 22:21:00+00:00,bf1b3162bcdf,2026-09-22 07:35:22.661765+00:00,both,left_only,orphan_customer_or_product_reference
O0048363,C01340,P0078,2025-01-27 04:51:00+00:00,6,707.57,0.1,CANCELLED,2025-01-27 07:51:00+00:00,bf1b3162bcdf,2026-09-22 07:35:22.661765+00:00,both,left_only,orphan_customer_or_product_reference
O0005097,C01862,P0078,2025-02-02 03:37:00+00:00,5,790.16,0.0,PENDING,2025-02-02 14:37:00+00:00,bf1b3162bcdf,2026-09-22 07:35:22.661765+00:00,both,left_only,orphan_customer_or_product_reference
O0021432,C02293,P0078,2025-02-01 15:54:00+00:00,2,525.12,0.0,PENDING,2025-02-03 16:54:00+00:00,bf1b3162bcdf,2026-09-22 07:35:22.661765+00:00,both,left_only,orphan_customer_or_product_reference
O0027758,C02088,P0078,2025-02-18 08:30:00+00:00,4,650.41,0.15,SHIPPED,2025-02-20 17:30:00+00:00,bf1b3162bcdf,2026-09-22 07:35:22.661765+00:00,both,left_only,orphan_customer_or_product_reference
O0019305,C02740,P0078,2025-03-01 21:01:00+00:00,8,480.31,0.05,DELIVERED,2025-03-04 04:01:00+00:00,bf1b3162bcdf,2026-09-22 07:35:22.661765+00:00,both,left_only,orphan_customer_or_product_reference
O0045301,C01423,P0078,2025-03-12 04:31:00+00:00,7,205.51,0.15,CANCELLED,2025-03-14 23:31:00+00:00,bf1b3162bcdf,2026-09-22 07:35:22.661765+00:00,both,left_only,orphan_customer_or_product_reference
O0024656,C01912,P0078,2025-03-25 20:02:00+00:00,1,616.27,0.15,DELIVERED,2025-03-28 06:02:00+00:00,bf1b3162bcdf,2026-09-22 07:35:22.661765+00:00,both,left_only,orphan_customer_or_product_reference
O0000444,C02032,P0078,2025-03-30 12:17:00+00:00,7,816.09,0.05,PENDING,2025-04-01 02:17:00+00:00,bf1b3162bcdf,2026-09-22 07:35:22.661765+00:00,both,left_only,orphan_customer_or_product_reference
O0047170,C01971,P0078,2025-04-01 08:38:00+00:00,5,499.38,0.15,PENDING,2025-04-02 20:38:00+00:00,bf1b3162bcdf,2026-09-22 07:35:22.661765+00:00,both,left_only,orphan_customer_or_product_reference
O0005700,C00291,P0078,2025-04-26 00:25:00+00:00,6,953.49,0.0,CANCELLED,2025-04-26 16:25:00+00:00,bf1b3162bcdf,2026-09-22 07:35:22.661765+00:00,both,left_only,orphan_customer_or_product_reference
O0003896,C02762,P0078,2025-05-01 20:00:00+00:00,5,768.19,0.05,DELIVERED,2025-05-03 06:00:00+00:00,bf1b3162bcdf,2026-09-22 07:35:22.661765+00:00,both,left_only,orphan_customer_or_product_reference
