order_id,customer_id,product_id,order_timestamp,quantity,unit_price,discount_pct,status,updated_at,reason
O0000005,C02247,P0239,2026-06-12 12:34:00+00:00,8,67525.62,0.0,PAID,2026-06-15 02:34:00+00:00,bad_status;
O0000009,C02058,P0584,2025-03-26 07:20:00+00:00,4,261.24,0.1,PACKED,2025-03-28 14:20:00+00:00,bad_status;
O0000010,C00388,P0258,2025-03-08 11:37:00+00:00,8,57049.13,0.0,PACKED,2025-03-09 00:37:00+00:00,bad_status;
O0000011,C00647,P0129,2025-11-19 08:43:00+00:00,8,77576.92,0.1,PAID,2025-11-21 19:43:00+00:00,bad_status;
O0000012,C01859,P0524,2025-04-08 10:43:00+00:00,6,71131.29,0.0,PAID,2025-04-11 08:43:00+00:00,bad_status;
O0000018,C01466,P0364,2025-11-15 02:41:00+00:00,6,51326.98,0.0,PACKED,2025-11-15 22:41:00+00:00,bad_status;
O0000019,C01127,P0258,2025-12-11 15:32:00+00:00,1,57049.13,0.15,PAID,2025-12-13 03:32:00+00:00,bad_status;
O0000021,C02528,P0123,2025-09-27 21:47:00+00:00,3,70265.32,0.15,PACKED,2025-09-29 21:47:00+00:00,bad_status;
O0000022,C02745,P0322,2026-04-25 18:02:00+00:00,3,43814.63,0.15,PAID,2026-04-27 15:02:00+00:00,bad_status;
O0000025,C00625,P0371,2026-07-04 09:14:00+00:00,7,2126.94,0.05,PAID,2026-07-05 17:14:00+00:00,bad_status;
O0000028,C01492,P0272,2025-01-07 02:47:00+00:00,7,45374.87,0.15,PAID,2025-01-08 05:47:00+00:00,bad_status;
O0000032,C02455,P0310,2025-12-06 05:21:00+00:00,5,35928.91,0.05,PAID,2025-12-07 17:21:00+00:00,bad_status;
O0000035,C02868,P0340,2026-03-26 19:37:00+00:00,3,60718.41,0.15,PAID,2026-03-28 16:37:00+00:00,bad_status;
O0000036,C01773,P0344,2026-05-28 10:59:00+00:00,5,2785.93,0.0,PAID,2026-05-29 17:59:00+00:00,bad_status;
O0000037,C02150,P0067,2026-02-12 09:05:00+00:00,3,68969.66,0.0,PAID,2026-02-15 03:05:00+00:00,bad_status;
O0000039,C00913,P0343,2025-09-07 08:51:00+00:00,3,26854.39,0.0,PACKED,2025-09-09 10:51:00+00:00,bad_status;
O0000042,C00647,P0088,2026-03-12 11:42:00+00:00,2,55185.22,0.05,PACKED,2026-03-13 11:42:00+00:00,bad_status;
O0000045,C01540,P0398,2026-08-13 10:15:00+00:00,2,62692.66,0.15,PAID,2026-08-14 08:15:00+00:00,bad_status;
O0000046,C01978,P0509,2025-09-17 21:52:00+00:00,8,50305.42,0.15,PACKED,2025-09-20 17:52:00+00:00,bad_status;
O0000047,C01519,P0119,2025-07-15 03:17:00+00:00,2,52861.96,0.0,PACKED,2025-07-16 03:17:00+00:00,bad_status;
O0000052,C01011,P0018,2026-01-05 22:37:00+00:00,3,39315.77,0.0,PAID,2026-01-07 01:37:00+00:00,bad_status;
O0000062,C01909,P0380,2025-12-24 17:03:00+00:00,2,40150.81,0.0,PACKED,2025-12-27 06:03:00+00:00,bad_status;
O0000069,C02044,P0039,2026-01-03 19:37:00+00:00,1,54778.38,0.05,PAID,2026-01-06 18:37:00+00:00,bad_status;
O0000071,C02927,P0441,2025-11-15 20:05:00+00:00,4,49223.61,0.0,PACKED,2025-11-18 09:05:00+00:00,bad_status;
O0000073,C01080,P0551,2025-02-03 11:09:00+00:00,7,64688.53,0.0,PAID,2025-02-03 17:09:00+00:00,bad_status;
O0000074,C02458,P0216,2025-01-26 15:28:00+00:00,5,82079.9,0.0,PACKED,2025-01-28 01:28:00+00:00,bad_status;
O0000079,C00123,P0311,2026-08-27 03:09:00+00:00,6,59966.53,0.1,PACKED,2026-08-30 02:09:00+00:00,bad_status;
O0000081,C01377,P0077,2025-01-05 04:31:00+00:00,3,19310.99,0.0,PACKED,2025-01-07 09:31:00+00:00,bad_status;
O0000088,C02265,P0383,2025-06-19 05:03:00+00:00,3,79854.28,0.0,PAID,2025-06-19 19:03:00+00:00,bad_status;
O0000091,C00828,P0480,2026-04-12 03:46:00+00:00,2,1541.62,0.0,PAID,2026-04-13 14:46:00+00:00,bad_status;
O0000094,C00048,P0307,2026-09-04 16:28:00+00:00,8,74775.57,0.0,PACKED,2026-09-05 06:28:00+00:00,bad_status;
O0000096,C01967,P0504,2026-08-07 16:26:00+00:00,7,34959.35,0.0,PACKED,2026-08-08 16:26:00+00:00,bad_status;
O0000101,C00178,P0291,2025-07-19 12:16:00+00:00,6,25096.1,0.0,PACKED,2025-07-21 04:16:00+00:00,bad_status;
O0000104,C00947,P0003,2026-05-24 01:11:00+00:00,5,19688.11,0.0,PAID,2026-05-24 06:11:00+00:00,bad_status;
O0000110,C02753,P0257,2025-02-26 20:46:00+00:00,5,36267.98,0.15,PAID,2025-02-27 04:46:00+00:00,bad_status;
O0000111,C01710,P0241,2026-08-04 02:47:00+00:00,4,6477.71,0.15,PAID,2026-08-06 17:47:00+00:00,bad_status;
O0000112,C02709,P0344,2025-11-08 06:39:00+00:00,0,2785.93,0.05,PACKED,2025-11-11 06:39:00+00:00,bad_quantity;bad_status;
O0000115,C00004,P0003,2026-07-18 15:10:00+00:00,6,19688.11,0.0,PAID,2026-07-21 10:10:00+00:00,bad_status;
O0000121,C01065,P0486,2025-03-10 17:59:00+00:00,1,31187.76,0.0,PAID,2025-03-12 15:59:00+00:00,bad_status;
O0000126,C02642,P0378,2025-07-02 04:20:00+00:00,6,65788.09,0.0,PAID,2025-07-04 16:20:00+00:00,bad_status;
O0000134,C00290,P0191,2026-07-07 02:31:00+00:00,4,51738.56,0.1,PAID,2026-07-09 03:31:00+00:00,bad_status;
O0000138,C01839,P0079,2026-04-30 02:02:00+00:00,4,24296.45,0.15,PACKED,2026-05-01 00:02:00+00:00,bad_status;
O0000139,C01890,P0222,2025-05-18 16:45:00+00:00,4,25358.22,0.1,PAID,2025-05-20 03:45:00+00:00,bad_status;
O0000140,C02543,P0495,2025-06-01 08:28:00+00:00,1,12972.89,0.05,PACKED,2025-06-04 04:28:00+00:00,bad_status;
O0000142,C02881,P0501,2025-11-29 16:19:00+00:00,5,27209.3,0.05,PAID,2025-11-30 17:19:00+00:00,bad_status;
O0000143,C02102,P0242,2026-07-26 10:03:00+00:00,2,76493.62,0.05,PAID,2026-07-28 03:03:00+00:00,bad_status;
O0000147,C02149,P0377,2026-02-10 02:06:00+00:00,2,64363.13,0.15,PAID,2026-02-12 15:06:00+00:00,bad_status;
O0000150,C02673,P0107,2025-12-11 08:47:00+00:00,4,8740.43,0.0,PACKED,2025-12-11 20:47:00+00:00,bad_status;
O0000153,C01760,P0014,2025-03-18 08:08:00+00:00,5,77030.15,0.1,PACKED,2025-03-21 01:08:00+00:00,bad_status;
O0000155,C00916,P0202,2025-02-04 04:14:00+00:00,8,24977.16,0.0,PACKED,2025-02-05 07:14:00+00:00,bad_status;
O0000158,C02035,P0339,2025-07-28 05:10:00+00:00,1,66565.59,0.1,PACKED,2025-07-29 13:10:00+00:00,bad_status;
O0000164,C01665,P0454,2025-08-25 05:34:00+00:00,7,68631.05,0.0,PAID,2025-08-28 01:34:00+00:00,bad_status;
O0000170,C00139,P0442,2025-03-27 13:45:00+00:00,3,17818.66,0.15,PACKED,2025-03-29 15:45:00+00:00,bad_status;
O0000187,C02310,P0156,2026-04-03 02:21:00+00:00,7,77342.38,0.1,PAID,2026-04-06 00:21:00+00:00,bad_status;
O0000188,C01391,P0547,2026-07-29 19:51:00+00:00,4,64728.88,0.0,PAID,2026-07-31 19:51:00+00:00,bad_status;
O0000191,C00846,P0361,2025-08-16 14:45:00+00:00,4,43456.93,0.05,PACKED,2025-08-18 01:45:00+00:00,bad_status;
O0000195,C00619,P0451,2026-07-21 01:47:00+00:00,4,66948.71,0.05,PACKED,2026-07-22 05:47:00+00:00,bad_status;
O0000197,C02546,P0004,2025-01-23 15:34:00+00:00,4,23373.7,0.05,PACKED,2025-01-24 12:34:00+00:00,bad_status;
O0000198,C01863,P0543,2025-08-23 12:23:00+00:00,7,54041.44,0.15,PACKED,2025-08-24 17:23:00+00:00,bad_status;
O0000200,C00260,P0444,2026-04-16 21:16:00+00:00,3,81498.76,0.0,PAID,2026-04-17 19:16:00+00:00,bad_status;
